id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2022-09-20T15:17:39;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2022-09-20T19:14:31;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2022-09-20T04:17:55;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2022-09-19T23:47:32;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2022-09-20T18:25:26;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2022-09-20T03:11:38;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2022-09-20T05:41:46;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2022-09-20T19:45:10;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2022-09-20T11:05:49;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2022-09-19T23:45:59;32637;8639
